iter	Passed	Remaining
0	17	17568
1	60	30065
2	126	41951
3	164	40881
4	181	36058
5	218	36125
6	272	38595
7	293	36381
8	361	39836
9	399	39508
10	435	39187
11	473	38948
12	494	37506
13	519	36562
14	576	37869
15	610	37523
16	630	36453
17	693	37828
18	704	36380
19	760	37279
20	777	36268
21	831	36971
22	889	37786
23	948	38570
24	985	38435
25	1003	37599
26	1031	37175
27	1048	36389
28	1106	37053
29	1146	37079
30	1158	36219
31	1195	36169
32	1246	36518
33	1262	35879
34	1316	36287
35	1340	35896
36	1364	35507
37	1423	36047
38	1444	35583
39	1515	36368
40	1558	36463
41	1573	35889
42	1589	35376
43	1628	35393
44	1690	35876
45	1741	36110
46	1777	36040
47	1788	35475
48	1811	35156
49	1872	35578
50	1932	35967
51	1985	36202
52	2017	36057
53	2036	35671
54	2097	36034
55	2106	35505
56	2157	35688
57	2176	35354
58	2199	35077
59	2222	34820
60	2284	35165
61	2314	35011
62	2340	34806
63	2399	35091
64	2413	34722
65	2434	34447
66	2449	34111
67	2469	33840
68	2491	33617
69	2550	33881
70	2578	33742
71	2609	33629
72	2637	33487
73	2657	33258
74	2674	32981
75	2723	33116
76	2783	33368
77	2806	33175
78	2825	32942
79	2836	32623
80	2894	32844
81	2948	33007
82	2970	32820
83	2984	32549
84	2995	32246
85	3006	31952
86	3025	31754
87	3051	31629
88	3076	31491
89	3105	31401
90	3142	31387
91	3180	31386
92	3238	31583
93	3291	31721
94	3328	31704
95	3348	31527
96	3371	31390
97	3430	31576
98	3450	31404
99	3510	31591
100	3567	31756
101	3604	31731
102	3643	31730
103	3673	31648
104	3713	31650
105	3735	31503
106	3754	31337
107	3814	31502
108	3825	31271
109	3886	31446
110	3902	31259
111	3960	31399
112	4011	31489
113	4039	31398
114	4098	31542
115	4134	31506
116	4153	31347
117	4213	31496
118	4241	31400
119	4269	31306
120	4299	31230
121	4313	31039
122	4329	30871
123	4351	30741
124	4390	30732
125	4420	30664
126	4441	30534
127	4456	30360
128	4485	30285
129	4544	30415
130	4564	30280
131	4626	30423
132	4693	30595
133	4750	30698
134	4761	30507
135	4788	30423
136	4803	30260
137	4838	30224
138	4861	30113
139	4878	29967
140	4936	30074
141	4988	30140
142	5009	30020
143	5065	30113
144	5124	30218
145	5152	30140
146	5210	30233
147	5260	30281
148	5318	30373
149	5354	30344
150	5378	30238
151	5426	30273
152	5443	30136
153	5481	30114
154	5514	30061
155	5578	30183
156	5647	30322
157	5709	30426
158	5725	30286
159	5754	30208
160	5773	30087
161	5809	30051
162	5824	29907
163	5872	29937
164	5923	29978
165	5949	29890
166	6009	29974
167	6028	29855
168	6052	29759
169	6102	29794
170	6114	29640
171	6134	29530
172	6191	29595
173	6227	29564
174	6238	29412
175	6258	29300
176	6281	29207
177	6300	29097
178	6338	29073
179	6367	29006
180	6403	28974
181	6412	28822
182	6441	28759
183	6459	28648
184	6483	28564
185	6521	28540
186	6581	28614
187	6598	28500
188	6627	28437
189	6646	28336
190	6669	28247
191	6680	28113
192	6709	28053
193	6734	27980
194	6764	27924
195	6787	27842
196	6798	27712
197	6857	27775
198	6874	27668
199	6882	27529
200	6905	27448
201	6931	27381
202	6952	27294
203	6968	27189
204	7006	27169
205	7023	27071
206	7034	26948
207	7047	26836
208	7060	26720
209	7073	26611
210	7093	26525
211	7110	26430
212	7134	26360
213	7148	26254
214	7164	26160
215	7179	26057
216	7195	25964
217	7212	25872
218	7236	25806
219	7250	25704
220	7285	25682
221	7305	25602
222	7334	25557
223	7355	25483
224	7375	25405
225	7389	25308
226	7406	25221
227	7415	25107
228	7427	25006
229	7463	24985
230	7479	24899
231	7499	24826
232	7517	24745
233	7550	24717
234	7574	24658
235	7583	24549
236	7594	24449
237	7603	24343
238	7613	24241
239	7651	24230
240	7688	24214
241	7708	24143
242	7717	24040
243	7732	23957
244	7746	23871
245	7764	23799
246	7794	23761
247	7823	23722
248	7834	23629
249	7863	23589
250	7879	23512
251	7899	23448
252	7920	23385
253	7938	23314
254	7959	23254
255	7974	23175
256	8011	23160
257	8026	23082
258	8042	23010
259	8051	22915
260	8111	22966
261	8130	22900
262	8188	22946
263	8217	22908
264	8229	22824
265	8245	22752
266	8267	22698
267	8281	22619
268	8289	22526
269	8300	22441
270	8310	22356
271	8373	22412
272	8392	22348
273	8412	22290
274	8442	22258
275	8456	22182
276	8491	22164
277	8502	22082
278	8516	22009
279	8575	22051
280	8595	21992
281	8608	21918
282	8619	21838
283	8635	21771
284	8656	21718
285	8676	21661
286	8755	21751
287	8780	21706
288	8803	21659
289	8818	21590
290	8842	21544
291	8856	21473
292	8869	21402
293	8889	21346
294	8912	21300
295	8936	21255
296	8973	21239
297	8987	21171
298	9037	21189
299	9050	21116
300	9108	21151
301	9181	21220
302	9235	21244
303	9252	21183
304	9289	21168
305	9346	21198
306	9367	21145
307	9420	21165
308	9437	21104
309	9479	21100
310	9493	21031
311	9519	20991
312	9534	20926
313	9565	20898
314	9590	20854
315	9606	20794
316	9620	20727
317	9643	20681
318	9663	20628
319	9691	20593
320	9742	20608
321	9802	20639
322	9817	20578
323	9831	20512
324	9862	20484
325	9879	20426
326	9891	20358
327	9942	20369
328	9954	20302
329	9976	20256
330	9985	20181
331	10013	20148
332	10022	20074
333	10080	20101
334	10100	20050
335	10117	19993
336	10140	19949
337	10155	19889
338	10174	19839
339	10188	19778
340	10196	19706
341	10216	19656
342	10234	19602
343	10250	19547
344	10264	19488
345	10278	19428
346	10296	19375
347	10332	19359
348	10348	19303
349	10404	19323
350	10427	19281
351	10436	19212
352	10450	19154
353	10467	19102
354	10497	19073
355	10548	19081
